Content Path,Filename,develop Link,main Link,Production Link,title,last_modified_at,to-do List,articleIndex,description,azure_dir,Obsolete Front Matter,contributors,contributor.role,contributor.name,contributor.headshot,contributor.caption,contributor.bio,categories,header_image,header_image.filename,header_image.alt_text,tags,byline,byline2,subtitle,no_leaf_bug,index,date,draft
volume-ix-issue-1,_index,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/ ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/ ,https://rootstalk.grinnell.edu/volume-ix-issue-1/ ,"Volume IX, Issue 1",2023-08-15 14:56:14,,0,Current Issue - Spring 2023,rootstalk-2023-spring,"['issueIndex', 'pid', 'issue']",,,,,,,,,,,,,,,,,,
volume-ix-issue-1,larson,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/larson ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/larson ,https://rootstalk.grinnell.edu/volume-ix-issue-1/larson ,Three Poems,,,15,,rootstalk-2023-spring,[],1,author,Rustin Larson,larson-1-volume-ix-issue-1-spring-2023.jpg,Photo courtesy of Rustin Larson,"Rustin Larson's writing appears in the anthologies [Wild Gods (New Rivers Press, 2021)](https://www.newriverspress.com/shop/antho...",Poetry,True,larson-header.jpg,,,by Rustin Larson,,,,larson,18/08/2023 08:13:13,False
past-issues/volume-ii-issue-1,moffett-1,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/moffett-1 ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/moffett-1 ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/moffett-1 ,My Prairie,2023-09-19 15:10:19,,10,,rootstalk-2015-fall,[],1,author,Betty Moffett,Betty_Moffett.png,Photo courtesy of Betty Moffett,"**Betty Moffett** taught for almost thirty years in Grinnell College’s Writing Lab, where she learned a great deal from her stude...",Essay,True,my-prairie-header.png,,,,,,,moffett-1,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,mcilrath,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/mcilrath ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/mcilrath ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/mcilrath ,"Such A Clean, Tidy Man",2023-09-19 15:10:19,,61,,rootstalk-2015-fall,[],1,author,J. Harley McIlrath,Harley_June_2010_020.jpg,Photo courtesy of Harley McIlRath,"**J. Harley McIlrath**’s work has appeared in the [North American Review,](http://www.northamericanreview.org)  the [Seneca Revie...",Essay,,,,,,,,,mcilrath,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,wolf,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/wolf ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/wolf ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/wolf ,Close-up: Robert Wolf,2023-09-19 15:10:20,,58,,rootstalk-2015-fall,[],1,artist,Robert Wolf,wolf-headshot.png,Photo courtesy of Robert Wolf,,Closeup,True,wolf-header.png,,,,,,,wolf,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,editor,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/editor ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/editor ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/editor ,Editors’ Notes,2023-09-19 15:10:19,,2,,rootstalk-2015-fall,[],2,author,Emma Thomasch,IMG_3053.jpg,Photo courtesy of Emma Thomasch,,Editor's Note,True,editor-header.png,,,by Emma Thomasch and Madeline Warnick,,,,editor,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,kirschenmann,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/kirschenmann ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/kirschenmann ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/kirschenmann ,From Soil to Sustainability,2023-09-19 15:10:19,,49,,rootstalk-2015-fall,[],1,author,Frederick L. Kirschenmann,Kirschenmann.png,Photo courtesy of Frederick Kirschenmann,**Frederick L. Kirschenmann** shares an appointment as Distinguished Fellow for the [Leopold Center for Sustainable Agriculture](...,Essay,True,soil-header.png,,,,,,,kirschenmann,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,scanbridge,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/scanbridge ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/scanbridge ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/scanbridge ,Close-up: Diana Scandridge,2023-09-19 15:10:19,,25,,rootstalk-2015-fall,[],1,artist,Diana Scandridge,Scandridge_headshot.png,Photo courtesy of Diana Scandridge,"Born in Vinton, Iowa in the 1960s, **Diana Scandridge** received her degree from the University of Northern Iowa and began teachi...",Closeup,True,scandridge-header.png,,art,,,,,scanbridge,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,heath,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/heath ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/heath ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/heath ,The Garwin Bowery,2023-09-19 15:10:19,,15,,rootstalk-2015-fall,[],1,author,Frank Heath,Heath_1.jpg,Photo courtesy of Frank Heath,"**Frank Heath** is a writer, musician and historian who has published in magazines and newspapers and has soloed with various sym...",Essay,True,heath-header.png,,,,,,,heath,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,stowe,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/stowe ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/stowe ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/stowe ,Swimming Upstream: Des Moines,2023-09-19 15:10:19,,32,,rootstalk-2015-fall,[],1,author,William G. Stowe,Bill_Stowe-2.jpg,Photo courtesy of Bill Stowe,**Bill Stowe** is the CEO and General Manager of [Des Moines Water Works.](http://www.dmww.com/) (DMWW)  DMWW is a regional utili...,Essay,True,stowe-header.png,,,,,Water Works Asks for Agricultural Accountability in A State that Claims to ‘Feed the World’*,,stowe,03/06/2022 11:50:02,False
